business_id,name,address,city,postal_code,lat,lon,tract_geoid,median_household_income,poverty_rate_pct,access_class,access_score
PR0305286,EL AMIGO BURRITO,4485 STEVENS CREEK BL,Santa Clara,95051,37.3238314,-121.9809245,06085506103,231563,6.2,underserved,6
PR0305291,MARVEL CAKE,1638 W CAMPBELL AV # B,Campbell,95008,37.285867,-121.978632,06085506604,191843,2.7,well_served,2
PR0305292,MALONE FOOD &  LIQOUR,830 MALONE RD,San Jose,95125,37.296559,-121.882614,06085502500,225694,4.6,moderate,3
PR0305295,BARRON PARK SHELL/FOOD,3601 EL CAMINO REAL,Palo Alto,94306,37.418808,-122.133599,06085510700,182266,3.3,moderate,4
PR0305296,AFRICAN CARIBBEAN FOODS & PAYRODAS MARKET,1645 S BASCOM AV # D,Campbell,95008,37.293431,-121.931893,06085502604,110581,4.8,moderate,5
PR0305297,SARATOGA SGD TOFU HOUSE,491 SARATOGA AV,San Jose,95129,37.318628,-121.973911,06085506203,142791,7.2,underserved,6
PR0305301,OPELIA,25 E MAIN ST,Los Gatos,95032,37.2218643,-121.9825034,06085507004,175347,8.3,moderate,5
PR0305306,POSH BAGEL,310 MAIN ST,Los Altos,94022,37.378354,-122.116988,06085510300,250001,3.2,well_served,1
PR0305307,SAINTE CLAIRE CLUB,65 E SAINT JAMES ST,San Jose,95112,37.339958,-121.891571,06085501000,58775,19.4,highly_underserved,9
PR0305308,PIZZERIA DELFINA,651 EMERSON ST,Palo Alto,94301,37.4432829,-122.1605313,06085511302,139167,18.2,underserved,8
PR0305309,ORANGE SQUARE,1790 MILMONT DR,Milpitas,95035,37.4545714,-121.9158705,06085504506,164879,6.3,underserved,8
PR0305310,HACIENDA PARRILLA BAR,1820 ALUM ROCK AV,San Jose,95116,37.3537657,-121.8529253,06085503710,43125,19.5,highly_underserved,9
PR0305312,HUNAN MIFEN,592 E EL CAMINO REAL,Sunnyvale,94087,37.3614412,-122.0266515,06085508503,167763,8.0,underserved,6
PR0305313,VEGETARIAN HOUSE VEGAN,520 E SANTA CLARA ST,San Jose,95112,37.341299,-121.879083,06085501300,145260,13.5,highly_underserved,9
PR0305317,PUERTA DEL SOL SPAIN CUISINE,668 BLOSSOM HILL RD,San Jose,95123,37.250451,-121.845879,06085512047,180909,3.4,moderate,4
PR0305321,YIASSOO,10660 S DE ANZA BL,Cupertino,95014,37.3134621,-122.0319137,06085508005,206389,5.4,moderate,5
PR0305324,OC 7IEN,1130 LUCRETIA AV # D,San Jose,95122,37.329771,-121.856629,06085503117,79205,10.2,highly_underserved,9
PR0305325,DELIZIAS BAKERY 1 INC,3975 SENTER RD # 107,San Jose,95111,37.28319,-121.824414,06085503217,81786,5.5,underserved,7
PR0305328,KRUSTI PIZZA & PASTA,341 LAFAYETTE ST # 104,Santa Clara,95050,37.3438822,-121.9406893,06085505700,125740,18.4,underserved,8
PR0305330,DARBAR INDIAN CUISINE,129 LYTTON AV,Palo Alto,94301,37.4447312,-122.1648674,06085511302,139167,18.2,underserved,8
PR0305335,SAN JOSE MASONIC TEMPLE ASSOC,2500 MASONIC DR,San Jose,95125,37.288548,-121.873763,06085503124,124229,15.6,underserved,8
PR0305336,NAGOYA SUSHI,2590 S BASCOM AV E-B,San Jose,95124,37.274637,-121.933345,06085502901,135846,8.0,underserved,7
