geoid,name,state,county,tract,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
06085500100,Census Tract 5001; Santa Clara County; California,06,085,500100,8285,1595,929,1235,17,983,150,163061,2987,145,4.85,6.0
06085503218,Census Tract 5032.18; Santa Clara County; California,06,085,503218,4227,1102,518,280,0,112,78,53036,1022,201,19.67,11.8
06085503219,Census Tract 5032.19; Santa Clara County; California,06,085,503219,2738,568,332,213,0,165,92,60451,802,35,4.36,5.7
06085503220,Census Tract 5032.20; Santa Clara County; California,06,085,503220,4691,976,530,350,0,278,2,96705,1369,88,6.43,6.6
06085503221,Census Tract 5032.21; Santa Clara County; California,06,085,503221,2433,435,613,118,0,76,0,49323,805,191,23.73,23.2
06085503222,Census Tract 5032.22; Santa Clara County; California,06,085,503222,5434,1250,598,115,0,104,0,122526,1479,172,11.63,4.5
06085503304,Census Tract 5033.04; Santa Clara County; California,06,085,503304,6566,1223,1592,513,0,394,126,101039,1755,96,5.47,9.4
06085503305,Census Tract 5033.05; Santa Clara County; California,06,085,503305,5874,1155,1230,352,0,196,0,103000,1482,214,14.44,13.6
06085503306,Census Tract 5033.06; Santa Clara County; California,06,085,503306,3852,641,554,232,0,143,1,119091,822,65,7.91,10.4
06085503312,Census Tract 5033.12; Santa Clara County; California,06,085,503312,3550,906,619,751,0,234,174,176607,1099,29,2.64,3.7
06085503313,Census Tract 5033.13; Santa Clara County; California,06,085,503313,4449,940,920,636,0,498,60,250001,1270,15,1.18,12.1
06085503315,Census Tract 5033.15; Santa Clara County; California,06,085,503315,7822,1511,1144,1003,0,827,0,152083,2144,138,6.44,6.9
06085503321,Census Tract 5033.21; Santa Clara County; California,06,085,503321,4351,607,982,333,0,300,4,152238,1089,123,11.29,2.5
06085503322,Census Tract 5033.22; Santa Clara County; California,06,085,503322,4506,699,796,555,19,432,61,151250,1132,18,1.59,4.5
06085503323,Census Tract 5033.23; Santa Clara County; California,06,085,503323,3809,741,637,351,0,171,25,169484,1008,48,4.76,5.0
06085503324,Census Tract 5033.24; Santa Clara County; California,06,085,503324,3333,575,693,246,0,177,41,170399,923,8,0.87,3.0
06085503325,Census Tract 5033.25; Santa Clara County; California,06,085,503325,4478,1137,655,421,22,279,0,145991,1130,9,0.8,14.8
06085503326,Census Tract 5033.26; Santa Clara County; California,06,085,503326,6829,1511,1056,895,0,841,10,235673,1887,25,1.32,1.9
06085503327,Census Tract 5033.27; Santa Clara County; California,06,085,503327,4434,1000,962,508,0,386,4,172381,1376,239,17.37,7.6
06085503329,Census Tract 5033.29; Santa Clara County; California,06,085,503329,3294,717,573,557,0,413,7,217369,1023,42,4.11,7.4
06085503330,Census Tract 5033.30; Santa Clara County; California,06,085,503330,6550,1542,1135,475,35,386,0,250001,1963,18,0.92,1.7
06085503331,Census Tract 5033.31; Santa Clara County; California,06,085,503331,3481,499,1477,1052,0,755,16,126324,1384,87,6.29,5.7
06085503332,Census Tract 5033.32; Santa Clara County; California,06,085,503332,5897,492,2916,2814,0,1928,0,132969,2819,43,1.53,3.8
06085503333,Census Tract 5033.33; Santa Clara County; California,06,085,503333,4590,679,734,860,239,381,75,213003,1379,30,2.18,4.1
06085503336,Census Tract 5033.36; Santa Clara County; California,06,085,503336,2861,429,502,143,0,106,62,190000,810,45,5.56,7.0
06085503337,Census Tract 5033.37; Santa Clara County; California,06,085,503337,4409,684,649,296,0,222,30,159904,1099,87,7.92,7.6
06085503338,Census Tract 5033.38; Santa Clara County; California,06,085,503338,3972,897,648,665,53,554,0,250001,1184,29,2.45,1.6
06085503339,Census Tract 5033.39; Santa Clara County; California,06,085,503339,3827,926,531,778,30,591,22,250001,1240,20,1.61,1.0
06085503401,Census Tract 5034.01; Santa Clara County; California,06,085,503401,4073,767,631,255,0,221,27,111576,903,28,3.1,13.9
06085503402,Census Tract 5034.02; Santa Clara County; California,06,085,503402,4279,972,648,307,0,190,5,79306,1000,122,12.2,14.0
06085503504,Census Tract 5035.04; Santa Clara County; California,06,085,503504,5526,1050,581,116,0,104,59,139180,1129,44,3.9,6.5
06085503506,Census Tract 5035.06; Santa Clara County; California,06,085,503506,6220,1730,1019,290,0,280,12,101146,1203,39,3.24,5.8
06085503507,Census Tract 5035.07; Santa Clara County; California,06,085,503507,2290,461,348,50,0,46,0,168716,418,0,0.0,4.2
06085503508,Census Tract 5035.08; Santa Clara County; California,06,085,503508,5979,1402,786,619,18,533,230,125469,1219,38,3.12,10.3
06085503509,Census Tract 5035.09; Santa Clara County; California,06,085,503509,3990,1099,533,245,0,192,119,151786,796,46,5.78,4.5
