geoid,name,state,county,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
060855120261,Block Group 1; Census Tract 5120.26; Santa Clara County; California,06,085,512026,1,1895,466,205,484,29,792,507,141250,0,0,,
060855120262,Block Group 2; Census Tract 5120.26; Santa Clara County; California,06,085,512026,2,1839,349,163,541,17,632,832,171250,0,0,,
060855120271,Block Group 1; Census Tract 5120.27; Santa Clara County; California,06,085,512027,1,1457,174,320,567,27,313,486,75188,0,0,,
060855120272,Block Group 2; Census Tract 5120.27; Santa Clara County; California,06,085,512027,2,2451,568,562,958,5,785,536,149556,0,0,,
060855120291,Block Group 1; Census Tract 5120.29; Santa Clara County; California,06,085,512029,1,2409,422,284,532,0,649,1242,202109,0,0,,
060855120292,Block Group 2; Census Tract 5120.29; Santa Clara County; California,06,085,512029,2,2374,609,545,1296,2,673,398,180167,0,0,,
060855120293,Block Group 3; Census Tract 5120.29; Santa Clara County; California,06,085,512029,3,760,157,15,185,24,128,374,127321,0,0,,
060855120294,Block Group 4; Census Tract 5120.29; Santa Clara County; California,06,085,512029,4,2572,449,258,1826,26,332,346,191629,0,0,,
060855120301,Block Group 1; Census Tract 5120.30; Santa Clara County; California,06,085,512030,1,1566,422,323,721,34,441,212,182235,0,0,,
060855120302,Block Group 2; Census Tract 5120.30; Santa Clara County; California,06,085,512030,2,1332,351,180,544,0,475,267,166250,0,0,,
060855120311,Block Group 1; Census Tract 5120.31; Santa Clara County; California,06,085,512031,1,552,126,169,256,6,124,151,182019,0,0,,
060855120312,Block Group 2; Census Tract 5120.31; Santa Clara County; California,06,085,512031,2,1287,374,155,549,0,396,335,220729,0,0,,
060855120313,Block Group 3; Census Tract 5120.31; Santa Clara County; California,06,085,512031,3,1088,211,159,546,12,339,122,180000,0,0,,
060855120314,Block Group 4; Census Tract 5120.31; Santa Clara County; California,06,085,512031,4,1172,322,167,412,0,461,59,241786,0,0,,
060855120321,Block Group 1; Census Tract 5120.32; Santa Clara County; California,06,085,512032,1,1450,439,159,552,0,616,427,156625,0,0,,
060855120322,Block Group 2; Census Tract 5120.32; Santa Clara County; California,06,085,512032,2,658,70,241,248,18,182,212,159286,0,0,,
060855120323,Block Group 3; Census Tract 5120.32; Santa Clara County; California,06,085,512032,3,1646,374,179,448,7,848,374,213702,0,0,,
060855120341,Block Group 1; Census Tract 5120.34; Santa Clara County; California,06,085,512034,1,2163,430,387,841,35,714,638,170909,0,0,,
060855120342,Block Group 2; Census Tract 5120.34; Santa Clara County; California,06,085,512034,2,834,252,104,302,21,108,394,122443,0,0,,
060855120351,Block Group 1; Census Tract 5120.35; Santa Clara County; California,06,085,512035,1,1694,370,373,448,25,639,429,197619,0,0,,
060855120352,Block Group 2; Census Tract 5120.35; Santa Clara County; California,06,085,512035,2,2825,883,343,826,158,932,895,206310,0,0,,
060855120361,Block Group 1; Census Tract 5120.36; Santa Clara County; California,06,085,512036,1,2643,586,93,909,81,1010,645,133403,0,0,,
060855120362,Block Group 2; Census Tract 5120.36; Santa Clara County; California,06,085,512036,2,2125,334,236,564,8,657,752,179750,0,0,,
060855120371,Block Group 1; Census Tract 5120.37; Santa Clara County; California,06,085,512037,1,1756,362,368,651,27,560,449,173750,0,0,,
060855120372,Block Group 2; Census Tract 5120.37; Santa Clara County; California,06,085,512037,2,1233,335,158,400,16,473,308,232321,0,0,,
