geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score
06085503002,Census Tract 5030.02; Santa Clara County; California,3635,139863,4.4,10.28,18,2,1,4,0.1111111111111111,0.5502063273727648,5.9415
06085503207,Census Tract 5032.07; Santa Clara County; California,3446,145278,9.4,2.03,0,0,0,0,,0.0,5.9405
06085504323,Census Tract 5043.23; Santa Clara County; California,5814,161552,6.8,6.97,11,3,1,2,0.2727272727272727,0.5159958720330238,5.887099999999999
06085503212,Census Tract 5032.12; Santa Clara County; California,4226,128750,6.3,6.21,16,1,0,6,0.0625,0.23663038334122102,5.8537
06085509302,Census Tract 5093.02; Santa Clara County; California,3508,169896,5.2,9.33,13,3,0,4,0.23076923076923078,0.855188141391106,5.839366666666667
06085504601,Census Tract 5046.01; Santa Clara County; California,1212,74250,10.1,3.51,101,4,1,48,0.039603960396039604,3.3003300330033003,5.8341
06085500500,Census Tract 5005; Santa Clara County; California,5185,166514,3.5,11.53,24,5,1,6,0.20833333333333334,0.9643201542912246,5.8179
06085503804,Census Tract 5038.04; Santa Clara County; California,6231,141289,6.3,8.18,45,11,1,8,0.24444444444444444,1.7653667148130316,5.811290909090909
06085503329,Census Tract 5033.29; Santa Clara County; California,3294,217369,7.4,4.11,4,0,0,2,0.0,0.0,5.7685
06085503331,Census Tract 5033.31; Santa Clara County; California,3481,126324,5.7,6.29,4,0,0,1,0.0,0.0,5.7665
06085504424,Census Tract 5044.24; Santa Clara County; California,4974,153333,5.0,7.2,8,1,0,3,0.125,0.2010454362685967,5.764799999999999
06085512036,Census Tract 5120.36; Santa Clara County; California,4768,138841,5.3,6.79,0,0,0,0,,0.0,5.7615
06085512052,Census Tract 5120.52; Santa Clara County; California,4491,132699,5.5,8.94,32,6,0,9,0.1875,1.3360053440213762,5.753699999999999
06085508003,Census Tract 5080.03; Santa Clara County; California,2236,198500,9.1,1.85,7,0,0,1,0.0,0.0,5.7425
06085506603,Census Tract 5066.03; Santa Clara County; California,4295,250001,6.2,5.4,3,0,0,1,0.0,0.0,5.68
06085501102,Census Tract 5011.02; Santa Clara County; California,4273,144609,9.1,1.9,10,1,1,2,0.1,0.23402761525860052,5.614599999999999
06085505403,Census Tract 5054.03; Santa Clara County; California,8136,182500,6.1,5.85,22,2,2,2,0.09090909090909091,0.24582104228121926,5.6061000000000005
06085506606,Census Tract 5066.06; Santa Clara County; California,4976,133700,8.7,4.39,27,7,1,5,0.25925925925925924,1.4067524115755627,5.593671428571428
06085509802,Census Tract 5098.02; Santa Clara County; California,3090,220694,7.6,3.31,6,0,2,1,0.0,0.0,5.5785
06085508800,Census Tract 5088; Santa Clara County; California,3619,143333,7.8,5.21,18,3,0,5,0.16666666666666666,0.8289582757667864,5.574766666666666
06085503211,Census Tract 5032.11; Santa Clara County; California,4651,104677,8.6,2.2,3,1,0,0,0.3333333333333333,0.2150075252633842,5.570200000000001
06085503220,Census Tract 5032.20; Santa Clara County; California,4691,96705,6.6,6.43,13,3,0,2,0.23076923076923078,0.6395224898742272,5.533233333333333
06085504902,Census Tract 5049.02; Santa Clara County; California,4410,196797,3.8,8.01,4,0,0,3,0.0,0.0,5.5135
06085502800,Census Tract 5028; Santa Clara County; California,4236,185962,8.6,1.81,7,0,1,1,0.0,0.0,5.5035
06085502901,Census Tract 5029.01; Santa Clara County; California,6044,135846,8.0,4.57,25,4,0,10,0.16,0.6618133686300464,5.5017000000000005
06085507004,Census Tract 5070.04; Santa Clara County; California,3844,175347,8.3,4.49,104,4,1,24,0.038461538461538464,1.0405827263267429,5.4986999999999995
06085504102,Census Tract 5041.02; Santa Clara County; California,5273,156450,8.8,3.67,17,5,1,2,0.29411764705882354,0.9482268158543523,5.45542
06085509102,Census Tract 5091.02; Santa Clara County; California,4704,229505,5.5,5.79,29,1,0,13,0.034482758620689655,0.21258503401360543,5.4423
