geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score,limited_fresh_food_per_1000_people,restaurant_per_1000_people,fresh_food_access_raw,fresh_food_access_score,access_vulnerability_score,priority_area_flag,access_label
06085511608,Census Tract 5116.08; Santa Clara County; California,3316,42824,35.8,47.66,43,0,0,11,0.0,0.0,33.791,0.0,3.3172496984318456,0.030099009900990105,0.2,99.8,True,Highest access vulnerability
06085503709,Census Tract 5037.09; Santa Clara County; California,5862,78089,18.4,14.1,11,1,1,4,0.0909090909090909,0.17059024223814398,14.3874,0.17059024223814398,0.6823609689525759,0.17500846371545592,2.5,97.5,True,Highest access vulnerability
06085501601,Census Tract 5016.01; Santa Clara County; California,3558,120770,20.6,9.66,5,1,1,0,0.2,0.2810567734682406,13.362600000000002,0.2810567734682406,0.0,0.2154739380876763,8.6,91.4,True,Highest access vulnerability
06085505600,Census Tract 5056; Santa Clara County; California,4808,140263,20.1,10.67,40,3,3,10,0.075,0.6239600665557404,13.100033333333336,0.6239600665557404,2.0798668885191347,0.27001994936299845,38.0,62.0,False,Lower fresh-food access
06085503713,Census Tract 5037.13; Santa Clara County; California,3082,68636,15.4,13.41,2,0,1,0,0.0,0.0,12.6235,0.3244646333549643,0.0,0.1548171590998302,1.2,98.8,True,Highest access vulnerability
06085503218,Census Tract 5032.18; Santa Clara County; California,4227,53036,11.8,19.67,19,3,1,3,0.1578947368421052,0.7097232079489,12.476300000000002,0.2365744026496333,0.7097232079489,0.23704077828410186,17.9,82.1,True,Highest access vulnerability
06085504808,Census Tract 5048.08; Santa Clara County; California,2111,117054,10.5,19.1,5,0,0,1,0.0,0.0,12.41,0.0,0.4737091425864519,0.17595175152435164,2.7,97.3,True,Highest access vulnerability
06085505100,Census Tract 5051; Santa Clara County; California,3993,115395,14.5,16.2,108,4,3,41,0.037037037037037,1.0017530678687703,12.39465,0.7513148009015778,10.267968945654896,0.30847649466399724,68.4,31.6,False,Above-average fresh-food access
06085508509,Census Tract 5085.09; Santa Clara County; California,4240,161270,9.2,22.5,19,3,0,6,0.1578947368421052,0.7075471698113207,12.297666666666666,0.0,1.4150943396226414,0.28820008336010194,52.0,48.0,False,Moderate fresh-food access
06085506305,Census Tract 5063.05; Santa Clara County; California,5235,96150,12.7,14.68,18,1,0,4,0.0555555555555555,0.19102196752626552,11.9,0.0,0.7640878701050621,0.19655305607911158,4.4,95.6,True,Highest access vulnerability
06085505202,Census Tract 5052.02; Santa Clara County; California,8273,164928,19.1,8.48,111,11,3,42,0.0990990990990991,1.3296264958298079,11.713418181818184,0.36262540795358394,5.076755711350176,0.3837125176720013,86.8,13.2,False,Strong fresh-food access
06085501300,Census Tract 5013; Santa Clara County; California,3932,145260,13.5,13.08,17,1,2,4,0.0588235294117647,0.254323499491353,11.4394,0.508646998982706,1.017293997965412,0.23057133847476904,14.7,85.3,True,Highest access vulnerability
